"Time","CAL? 72 3458B","CAL? 175 3458B"
1651302881000,undefined,37.6892143
1651306486000,0.98691372,undefined
1651306487000,undefined,37.9854779
1651310094000,0.98691376,37.9720444
1651313700000,0.98691373,37.9482508
1651317307000,0.98691375,37.9899893
1651320913000,0.98691381,38.0590414
1651324519000,0.9869138,38.2098419
1651328126000,0.98691386,38.3958465
1651331732000,0.98691398,38.6091017
1651335338000,0.98691399,38.6653961
1651338945000,0.98691399,38.6569875
1651360480000,0.98691372,37.9540332
1651364086000,0.98691366,37.7814588
1651367693000,0.98691359,37.5940332
1651371299000,0.98691357,37.4302455
1651374905000,0.9869135,37.263987
1651378512000,0.98691341,37.1235451
1651382118000,0.98691336,undefined
1651382119000,undefined,37.013802
1651385724000,0.98691339,37.0772323
1651389332000,0.98691343,37.0872927
1651392938000,0.98691353,37.3699007
1651396544000,0.9869136,37.4963034
1651400151000,0.98691356,37.6488988
1651403757000,0.98691368,37.8482701
1651407364000,0.98691379,38.0281139
1651410970000,0.98691388,38.3484091
1651414576000,0.98691394,38.5583561
1651418183000,0.98691395,38.5567758
1651421789000,0.98691397,38.6034752
1651425395000,0.98691399,38.6164491
1651429002000,0.98691401,38.6977497
1651432608000,0.98691397,38.5967863
1651436215000,0.98691394,38.4238494
1651439821000,0.98691388,38.382707
1651443287000,0.98691389,undefined
1651443288000,undefined,38.2951918
1651446887000,0.98691377,undefined
1651446888000,undefined,38.1972337
1651450487000,0.9869137,undefined
1651450488000,undefined,37.9923854
1651454087000,0.98691361,undefined
1651454088000,undefined,37.7629914
1651457688000,0.98691354,37.5109422
1651461288000,0.98691343,37.2554978
1651464888000,0.98691333,36.9900039
1651468488000,0.98691324,36.7481589
1651472088000,0.98691344,37.1385583
1651476840000,0.98691365,37.7186314
1651480446000,0.9869137,37.8562241
1651484052000,0.98691377,38.0812585
1651487659000,0.98691391,38.3046497
1651491265000,0.98691398,38.5624079
1651494872000,0.98691407,38.8084613
1651498478000,0.98691413,39.094604
