"Time","CAL? 72 3458A","CAL? 175 3458A"
1651509296000,0.99159474,41.4084801
1651512894000,0.99159468,41.491216
1651516509000,0.99159473,41.4300535
1651520107000,0.99159472,41.1010047
1651523722000,0.99159477,undefined
1651523723000,undefined,40.9976111
1651527328000,0.99159468,undefined
1651527329000,undefined,40.8991871
1651530927000,0.99159469,40.9229427
1651534542000,0.99159473,40.8718872
1651538148000,0.99159472,40.6468419
1651541755000,0.99159473,40.4264002
1651545361000,0.99159469,40.2401922
1651548959000,0.99159471,40.1120595
1651552574000,0.99159476,39.9547411
1651556180000,0.99159473,39.8730676
1651559646000,0.9915947,40.2162076
1651563246000,0.99159466,40.6006839
1651566846000,0.99159464,40.7134355
1651570446000,0.99159465,40.7788228
1651577828000,0.99159476,41.0128487
1651581434000,0.99159482,41.2524434
1651585041000,0.99159478,41.2450602
1651588647000,0.99159481,41.444837
1651592245000,0.9915948,41.6573618
1651595860000,0.99159482,undefined
1651595861000,undefined,41.7214683
1651599467000,0.99159479,41.7032942
1651603065000,0.99159478,41.4676093
1651606680000,0.99159477,40.6702962
1651610286000,0.99159481,40.7273153
1651613893000,0.99159484,40.6071003
1651617499000,0.99159477,40.3718763
1651621097000,0.99159477,40.1737485
1651624712000,0.99159471,40.0537674
1651628318000,0.99159474,39.902627
1651631916000,0.99159476,39.6691382
1651635531000,0.99159474,39.4099973
1651639137000,0.99159469,39.1749257
1651642735000,0.99159482,39.1252264
1651646350000,0.99159481,39.5868515
1651649948000,0.99159477,40.0091135
1651653563000,0.99159479,40.3165992
1651657169000,0.99159481,40.4480456
1651660636000,0.99159481,40.5511406
1651664236000,0.99159471,40.6882414
1651667836000,0.99159475,40.9757369
1651671436000,0.99159479,41.1175307
1651675036000,0.99159468,40.9221878
1651678636000,0.99159474,41.1753661
1651682236000,0.99159475,41.3486733
1651685836000,0.99159476,41.1368267
1651689436000,0.99159475,40.8605726
1651693036000,0.99159477,40.8650304
1651696636000,0.99159471,41.1961053
1651700236000,0.9915948,41.2650371
1651707980000,0.99159484,40.9163866
1651711586000,0.99159483,40.7227898
1651715184000,0.9915948,40.4801731
1651718799000,0.99159485,40.2237598
1651722397000,0.99159479,39.9416898
1651726012000,0.99159477,39.7060849
1651729618000,0.99159484,39.6477894
1651733216000,0.99159485,39.742215
1651736831000,0.99159483,40.3060335
1651740437000,0.9915949,40.6700069
1651744035000,0.99159485,40.7637435
1651747650000,0.99159492,undefined
1651747651000,undefined,40.8662428
1651751248000,0.99159496,41.0524415
1651754864000,0.99159487,41.3239465
1651758470000,0.9915949,41.2472481
1651762068000,0.99159478,41.145653
1651765683000,0.99159482,41.032602
1651769289000,0.99159483,41.0712211
1651772887000,0.99159484,41.4339035
1651789603000,0.99159242,35.4471952
1651793209000,0.99159243,35.084658
1651796816000,0.99159247,34.8873718
1651800422000,0.99159247,34.6694241
1651804020000,0.99159253,34.4562893
1651807635000,0.99159248,undefined
1651807636000,undefined,34.2278485
1651811242000,0.9915925,34.0660087
1651814840000,0.99159246,34.0872712
1651818455000,0.99159256,34.556516
1651822053000,0.99159257,34.9469574
1651825668000,0.99159251,35.0265965
1651829274000,0.99159253,35.1355779
1651832872000,0.9915925,35.5528554
1651836487000,0.99159261,35.7057289
1651840093000,0.99159267,35.9580801
1651843691000,0.99159264,36.1054452
1651847306000,0.99159266,36.2893825
1651850912000,0.99159264,36.4129929
1651854519000,0.99159264,36.4394621
1651858125000,0.99159267,36.3968498
1651861723000,0.99159273,36.4369025
1651865338000,0.99159262,36.4572553
1651868944000,0.99159268,36.5518387
1651873797000,0.99159278,36.5063598
1651877403000,0.99159268,36.3031876
1651881001000,0.99159273,undefined
1651881002000,undefined,36.0996404
1651884617000,0.99159266,35.9058148
1651888215000,0.99159272,35.706644
1651891830000,0.99159274,35.5351406
1651895436000,0.99159274,35.375704
1651899034000,0.99159274,35.2257008
1651902649000,0.99159272,35.0422904
1651906255000,0.9915927,35.0588834
1651909853000,0.99159273,35.3058739
1651913468000,0.99159271,35.491552
1651917066000,0.9915927,35.2158229
1651920681000,0.99159278,35.4886839
1651924287000,0.99159281,35.9705277
1651927885000,0.99159285,36.5145065
1651931500000,0.99159284,36.77621
1651935106000,0.99159277,36.7188128
1651938704000,0.99159282,36.4304185
1651942319000,0.99159271,36.1404409
1651945917000,0.99159283,35.9681162
1651949532000,0.99159291,35.7975199
1651953138000,0.99159289,36.2116346
1651956605000,0.99159282,36.3262645
1651960205000,0.99159277,36.2869689
1651963805000,0.99159278,36.1608757
1651967405000,0.99159282,35.8348504
1651971005000,0.99159287,35.6191575
1651974605000,0.99159274,35.4134192
1651978205000,0.99159277,35.2568468
1651981805000,0.99159272,35.1101609
1651988611000,0.99159279,34.3170812
1651992217000,0.99159285,34.6922859
1651995815000,0.99159287,35.5306929
1651999430000,0.99159281,undefined
1651999431000,undefined,35.2369452
1652003028000,0.99159285,undefined
1652003029000,undefined,35.0192939
1652006644000,0.99159286,35.0512689
1652010250000,0.99159282,35.2361148
1652013848000,0.99159281,35.4443388
1652017463000,0.99159285,35.7021955
1652021069000,0.9915929,35.9334226
1652024667000,0.99159291,36.004011
1652028282000,0.99159299,36.124084
1652031880000,0.9915929,36.4182069
1652035495000,0.99159292,36.6501923
1652039101000,0.99159287,36.3081667
1652042699000,0.99159292,36.2817779
1652046314000,0.99159288,36.2372827
1652049920000,0.9915928,35.9534056
1652053518000,0.9915928,35.6461529
1652057133000,0.99159288,35.336195
1652060731000,0.99159283,35.1108511
1652064346000,0.99159282,34.8836857
1652067952000,0.99159284,34.6667934
1652071419000,0.99159281,34.3922745
1652076815000,0.99159293,34.3126395
1652080421000,0.99159296,35.0920725
1652084019000,0.99159294,35.4339409
1652087634000,0.99159303,35.6831991
1652091232000,0.99159307,35.9893147
1652094847000,0.99159301,36.2925633
1652098453000,0.99159302,36.5578896
1652102051000,0.99159305,undefined
1652102052000,undefined,36.8850418
1652105667000,0.99159319,37.2314429
1652109273000,0.99159316,37.4042932
1652112871000,0.99159312,37.3733685
1652116486000,0.99159319,37.3380816
1652120084000,0.99159314,37.2676363
1652123699000,0.99159314,37.0016445
1652127305000,0.99159313,36.9864016
1652130903000,0.99159319,36.9708732
1652134518000,0.99159315,36.8702661
1652138124000,0.99159323,36.94471
1652141722000,0.99159317,36.8675532
1652145337000,0.99159315,36.6790038
1652148935000,0.99159314,36.4532072
1652152550000,0.99159314,36.2430936
1652156156000,0.99159312,36.0580998
1652159623000,0.99159301,35.4684846
1652163757000,0.99159304,35.2102563
1652167363000,0.99159322,35.2416371
1652170961000,0.99159325,35.6304859
1652174576000,0.99159323,36.1842785
1652178174000,0.9915933,36.7047355
1652181790000,0.99159338,37.4208185
1652185396000,0.99159339,37.8592948
1652188994000,0.99159335,38.2037979
1652192609000,0.99159347,38.3835919
1652196215000,0.99159346,38.5405406
1652199813000,0.99159334,38.5314094
1652203428000,0.99159338,38.6384299
1652207026000,0.99159341,38.6747807
1652210641000,0.99159346,38.565125
1652220685000,0.99159343,38.3435482
1652224291000,0.99159344,38.0945993
1652227898000,0.99159341,37.8396846
1652231504000,0.99159342,37.58319
1652235102000,0.99159341,37.5212762
1652238717000,0.99159336,37.3832637
1652242323000,0.99159334,37.2059522
1652245921000,0.99159337,36.7411574
1652249536000,0.99159334,36.2538129
1652253134000,0.99159338,36.2050221
1652256749000,0.99159344,36.3337563
1652312527000,0.99159346,39.0420627
1652316133000,0.99159344,39.097497
1652319731000,0.99159344,38.9977925
1652323346000,0.99159346,38.9507304
1652326944000,0.99159344,38.7520079
1652330559000,0.99159339,38.4329189
1652334165000,0.99159331,37.1842383
1652337763000,0.99159332,36.5827781
1652341378000,0.99159336,36.5284864
1652344984000,0.99159331,36.6314237
1652348582000,0.99159338,36.793729
1652352197000,0.99159331,36.901942
1652355795000,0.9915934,37.1512045
1652359410000,0.9915934,37.4849262
1652363016000,0.99159338,37.7981282
1652366614000,0.99159346,37.8872035
1652370229000,0.99159344,37.9053025
1652373835000,0.99159348,37.9074943
1652377442000,0.99159347,37.8573395
1652384717000,0.9915934,37.6141114
1652388323000,0.99159341,37.5027231
1652391921000,0.99159341,37.4991782
